BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","Arimoto2005","Arimoto, Suguru; Sekimoto, Masahiro; Hashiguchi, Hiroe & Ozawa, Ryuta","Natural resolution of ill-posedness of inverse kinematics for redundant robots: a challenge to Bernstein's degrees-of-freedom problem","Advanced Robotics",19,4,"January","401--434",2005,"","","http://www.tandfonline.com/doi/abs/10.1163/1568553053662555","","","","","","","","","","","","","","","bernstein,inverse kinematics,multi-,redundancy resolution,redundant robots,s problem","",""
7,"","Cory2008","Cory, Rick & Peters, Jan","Operational Space Control : A Theoretical and Empirical","",,,"","",2008,"","","","","","","","","","","","","","","","","","","",""
7,"","Dantam2011","Dantam, Neil; Kolhe, Pushkar & Stilman, Mike","Equations of Motion for Dynamically Stable Mobile Manipulators","",,,"","1--5",2011,"","","","","","","","","","","","","","","","","","","",""
7,"078038914X","Harada2005","Harada, Kensuke; Kajita, Shuuji; Saito, Hajime & Morisawa, Mitsuharu","A Humanoid Robot Carrying a Heavy Object","",,April,"","12--17",2005,"","","","","","","","","","","","","","","","","","","",""
7,"","Holmberg2000","Holmberg, Robert","Development and Control of a Holonomic Mobile Robot for Mobile Manipulation Task","The International Journal of Robotics Research",,,"","",2000,"","","","","","","","","","","","","","","","","","augmented object,holonomic,mobile manipulation,mobile robot,powered caster","",""
7,"1424406021","Hyon2007","Hyon, Sang-ho & Cheng, Gordon","Disturbance Rejection for Biped Humanoids","",,April,"","10--14",2007,"","","","","","","","","","","","","","","","","","","",""
7,"","Member2007","Member, Sang-ho Hyon; Hale, Joshua G; Cheng, Gordon & Member, Senior","Balancing in the Presence of Unknown External Forces","",,,"","1--22",2007,"","","","","","","","","","","","","","","","","","","",""
7,"","Peters2007","Peters, Jan & Schaal, Stefan","Learning to Control in Operational Space","",3,1,"","1--24",2007,"","","","","","","","","","","","","","","","","","","",""
7,"978-1-4244-1646-2","Schmid2008","Schmid, Andreas J.; Gorges, Nicolas; Goger, Dirk & Worn, Heinz","Opening a door with a humanoid robot using multi-sensory tactile feedback","2008 IEEE International Conference on Robotics and Automation",,,"May","285--291",2008,"","","http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=4543222","","","","","","Ieee","","","","","","","","","Force Control,Force and Tactile Sensing,Humanoid Robots","",""
7,"","Sentis2010","Sentis, Luis & Khatib, Oussama","Compliant Control of Multicontact and Center-of-Mass Behaviors in Humanoid Robots","IEEE Transactions on Robotics",26,3,"June","483--501",2010,"","","http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5451086","","","","","","","","","","","","","","","","",""
7,"0-7803-9505-0","Sentis2006","Sentis, L. & Khatib, O.","A whole-body control framework for humanoids operating in human environments","Proceedings 2006 IEEE International Conference on Robotics and Automation, 2006. ICRA 2006.",,May,"","2641--2648",2006,"","","http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=1642100","","","","","","Ieee","","","","","","","","","","",""
7,"978-1-4244-6674-0","Stephens2010","Stephens, B J & Atkeson, C G","Dynamic Balance Force Control for compliant humanoid robots","2010 IEEE/RSJ International Conference on Intelligent Robots and Systems",,,"October","1248--1255",2010,"","","http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5648837","","","","","","Ieee","","","","","","","","","Force Control,Humanoid Robots,Legged Robots","",""
7,"978-1-4244-8688-5","Stephens2010a","Stephens, Benjamin J. & Atkeson, Christopher G.","Push Recovery by stepping for humanoid robots with force controlled joints","2010 10th IEEE-RAS International Conference on Humanoid Robots",,,"December","52--59",2010,"","","http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5686288","","","","","","Ieee","","","","","","","","","","",""
7,"","Systems2003","Systems, Robotic","Survey of Intelligent Control Techniques for Humanoid Robots","",,,"","117--141",2003,"","","","","","","","","","","","","","","","","","fuzzy logic,genetic algorithms,humanoid robots,neural networks","",""
7,"078038914X","Takubo2005","Takubo, Tomohito; Inoue, Kenji & Arai, Tatsuo","Pushing an Object Considering the Hand Reflect Forces by Humanoid Robot in Dynamic Walking","",,April,"","6--11",2005,"","","","","","","","","","","","","","","","","","","",""
